date,total_cost,plan_cost,emergency_cost,emergency_kwh,waste_kwh,start_soc,end_soc
2025-07-20,59954.70031781156,57624.286413403985,2330.4139044075796,606.0159760833326,8237.59261016667,7050.0,1200.0
2025-07-21,68891.74646204487,61371.70308281487,7520.043379230005,1854.8854854166684,5801.176878500001,1200.0,1950.0
2025-07-22,68864.81976532521,63537.46699579338,5327.352769531831,1053.4704783333327,10303.015465749999,1950.0,1200.0
2025-07-23,70356.59368145626,61594.79039423584,8761.803287220413,1848.8550667499992,7336.319607249997,1200.0,1200.0
2025-07-24,72510.21897964903,62892.4885692016,9617.730410447419,2003.697608416667,9209.02994741667,1200.0,1200.0
2025-07-25,33180.74622262527,33180.74622262527,0.0,0.0,26507.849195916668,1200.0,1200.0
2025-07-26,36658.66001756702,36467.20537650731,191.45464105970825,95.74873841666664,24878.0421795,1200.0,7050.0
2025-07-27,66356.08009756047,58978.57302837814,7377.5070691823275,1401.8343051666657,8296.905501166668,7050.0,1200.0
2025-07-28,81101.27013546415,62482.18914737208,18619.080988092068,4056.1439842499976,6042.654143000001,1200.0,1950.0
2025-07-29,74384.06640376888,63089.62873011426,11294.437673654626,2735.2721647500002,8752.273688083336,1950.0,1200.0
2025-07-30,72143.57198497503,63521.78019982717,8621.791785147867,1744.7608812499982,8489.070752499998,1200.0,1200.0
2025-07-31,68000.02490735552,62915.5127317859,5084.512175569617,1091.4511332499985,7776.450496750003,1200.0,1200.0
2025-08-01,32630.753794531716,32630.753794531716,0.0,0.0,30694.552038166665,1200.0,1200.0
2025-08-02,35344.020101229704,35344.020101229704,0.0,0.0,31150.839476166664,1200.0,7800.0
2025-08-03,55947.84125076409,55943.13235204984,4.708898714249997,1.6959992499999998,16450.415113333333,7800.0,1200.0
2025-08-04,59567.856452594315,59444.82395507973,123.0324975145831,42.641941666666526,13013.56008916667,1200.0,1200.0
2025-08-05,58440.72601095784,58415.76051439559,24.96549656225106,4.172390166666844,12006.481447250002,1200.0,1200.0
2025-08-06,63752.80115742158,58197.47849049779,5555.322666923788,1135.6780478333326,8461.910801500002,1200.0,1200.0
2025-08-07,57783.29578485954,56725.98253273554,1057.3132521239995,272.77249333333344,11687.196627833331,1200.0,1200.0
2025-08-08,29314.619280494062,29314.619280494062,0.0,0.0,32625.36055591666,1200.0,1200.0
2025-08-09,32704.83311641026,32704.83311641026,0.0,0.0,29576.474647999996,1200.0,7180.632387974078
2025-08-10,58161.872586720914,52339.56045413229,5822.312132588624,1538.5826051666659,7371.4778043333345,7180.632387974078,1950.0
2025-08-11,57745.684835937514,54549.384121121475,3196.3007148160405,672.5409623333331,9040.906559083336,1950.0,1950.0
2025-08-12,60632.634913313515,55154.69993473231,5477.934978581206,1114.9875196666667,5982.698540833337,1950.0,1200.0
2025-08-13,59986.613472213794,55404.519584300084,4582.093887913714,867.2685985833346,7239.3141853333345,1200.0,1200.0
2025-08-14,60675.278164906624,55250.571036559966,5424.70712834666,1059.9969625833323,7471.336736916667,1200.0,1200.0
2025-08-15,28605.42503105513,28605.42503105513,0.0,0.0,29296.48008333333,1200.0,1200.0
2025-08-16,31749.00903199333,31749.00903199333,0.0,0.0,29662.62217133333,1200.0,7200.0
2025-08-17,53309.56969956184,50065.845477838055,3243.7242217237895,637.8247291666665,7564.382637500003,7200.0,1200.0
2025-08-18,59204.255973777465,54104.30435260643,5099.951621171037,983.2216713333326,7383.417653083338,1200.0,1200.0
2025-08-19,57701.01823591021,53897.19617161401,3803.822064296206,815.7978124166659,6980.203652416665,1200.0,1200.0
2025-08-20,69282.57293890894,54548.47477435105,14734.098164557885,3455.4180882500013,3309.794611500003,1200.0,1200.0
2025-08-21,58757.18576836013,53478.67531709013,5278.510451269998,1213.0844599166662,5070.797957166669,1200.0,1200.0
2025-08-22,28243.068564030284,28211.502018355284,31.566545675000143,13.38132500000006,24259.907905916676,1200.0,1200.0
2025-08-23,30141.885469255252,30141.885469255252,0.0,0.0,22900.861526333334,1200.0,6450.0
2025-08-24,57779.31123003563,49141.98882741534,8637.322402620284,1841.8503334166655,5614.823069416669,6450.0,1200.0
2025-08-25,75207.89014379616,52584.53648371306,22623.353660083107,5327.566419666663,2617.456537416668,1200.0,1200.0
2025-08-26,59660.2888585369,52381.678532167905,7278.610326368995,1652.2219025833322,4994.974697166667,1200.0,1200.0
2025-08-27,60688.95704694909,53284.651686374425,7404.30536057467,1415.3472461666674,3753.9955710833337,1200.0,1200.0
2025-08-28,77386.530601029,52665.18378374958,24721.346817279416,5303.152976833333,2857.252142666668,1200.0,1200.0
2025-08-29,28258.772144010836,28179.881279271336,78.89086473950053,24.93257558333351,23330.472008166667,1200.0,1200.0
2025-08-30,31703.150862577902,31691.747054502903,11.403808075000121,4.495883333333381,27305.899043749996,1200.0,7950.0
2025-08-31,62361.623204962,47526.38130717054,14835.241897791464,3665.972923833334,3453.8057728333333,7950.0,1402.957122407408
2025-09-01,49199.23784881088,46540.95246481676,2658.2853839941254,827.2751270000001,15263.93254825,1402.957122407408,1200.0
2025-09-02,48732.41742740589,46430.38404429276,2302.0333831131284,496.89459283333406,14117.789890166669,1200.0,1200.0
2025-09-03,46734.25032129235,46244.49226465718,489.7580566351669,120.74491591666671,10995.389366916666,1200.0,1200.0
2025-09-04,45790.11516122811,44577.416775538106,1212.6983856900008,282.81937441666696,11055.69466366667,1200.0,1200.0
2025-09-05,22611.29623588305,22611.29623588305,0.0,0.0,35859.85163175,1200.0,1200.0
2025-09-06,25495.009500644715,25495.009500644715,0.0,0.0,34671.427950083336,1200.0,8700.0
2025-09-07,44821.91861763436,39964.52555397703,4857.39306365733,1141.0194114166661,9513.423469833335,8700.0,1200.0
2025-09-08,55309.64509568714,43964.93185725023,11344.71323843691,2604.159357999998,6302.585214416667,1200.0,1200.0
2025-09-09,44855.959526480285,43743.153771075406,1112.8057554048787,268.3373725833342,10705.649068833336,1200.0,1200.0
2025-09-10,58874.35477659422,45536.81583175598,13337.538944838243,2931.0373788333313,6246.930443833334,1200.0,1950.0
2025-09-11,45089.5730167404,43656.87541974728,1432.6975969931236,253.96661124999986,11005.333211500001,1950.0,1200.0
2025-09-12,22245.02267848574,22222.726001113282,22.296677372457694,8.001678583333103,30107.700645749996,1200.0,1200.0
2025-09-13,25571.1434424057,25571.1434424057,0.0,0.0,33501.741068,1200.0,10050.0
2025-09-14,49201.8557757511,39998.67537802935,9203.180397721746,2262.765508083333,5528.617634083335,10050.0,1200.0
2025-09-15,47749.083864976674,43874.178762682845,3874.905102293831,924.3369172499997,8473.583600166668,1200.0,3300.0
2025-09-16,48772.03488511438,41416.4730357801,7355.561849334277,2405.7062643333293,2942.1576220000006,3300.0,1950.0
2025-09-17,48422.448296461735,44555.85196456528,3866.596331896458,886.3780383333332,4883.8983244166675,1950.0,2700.0
2025-09-18,46917.536161368385,40945.21553815919,5972.320623209198,1281.5574645833317,3492.0998167500015,2700.0,1200.0
2025-09-19,20894.671459451445,20894.671459451445,0.0,0.0,22563.30149783333,1200.0,1950.0
2025-09-20,23136.51757279291,23120.247775823616,16.26979696929198,8.048378416666822,22847.64921158333,1950.0,10050.0
2025-09-21,43436.58003103868,40195.79988348551,3240.780147553167,977.2708975833336,5238.474278166667,10050.0,3450.0
2025-09-22,53034.63654297938,41569.00348201189,11465.633060967495,2896.7680965833324,2549.4409546666684,3450.0,3450.0
2025-09-23,58452.461557961644,39878.589112420275,18573.87244554137,4231.235092499997,919.4569997499996,3450.0,1950.0
2025-09-24,52893.50725009928,42514.59912459925,10378.908125500038,2949.205079333332,3195.5306635833363,1950.0,2700.0
2025-09-25,52571.91004802226,40560.331744731055,12011.57830329121,3104.215172833334,2706.373836083335,2700.0,1200.0
2025-09-26,19235.364335955488,19235.364335955488,0.0,0.0,19251.68580341667,1200.0,1950.0
2025-09-27,23030.522168228475,22681.28225912764,349.2399091008332,181.2104131666664,19413.003935166664,1950.0,10050.0
2025-09-28,54800.017783903095,38647.05444443815,16152.963339464946,3813.788014416664,1049.3200690833348,10050.0,3450.0
2025-09-29,55385.21050065773,41728.51260489199,13656.697895765741,3254.4465702499992,1641.398560583335,3450.0,2700.0
2025-09-30,62255.5077465232,42124.36729994978,20131.14044657342,4650.181061416668,839.4831932500014,2700.0,1950.0
2025-10-01,42887.16307445956,42080.310352462315,806.852721997247,368.5945826666655,14774.672793083333,1950.0,1950.0
